/Users/chunhaozou/Desktop/drl/envs/cartpole_original_train_eval.py:7: DeprecationWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html
  from pkg_resources import parse_requirements
name: __main__
Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Episode 1 finished with reward: {'pole_stability_reward': -8.124985055245133, 'pole_stability_reward_transformed': 284.3032159922061, 'cart_position_penalty': -84.37502047605813, 'gpt_reward': 199.928195516148, 'gt_reward': 292.0, 'episode_length': 292.0}
Episode 2 finished with reward: {'pole_stability_reward': -8.477068912237883, 'pole_stability_reward_transformed': 97.96812076928398, 'cart_position_penalty': -34.391886522993445, 'gpt_reward': 63.576234246290525, 'gt_reward': 106.0, 'episode_length': 106.0}
Episode 3 finished with reward: {'pole_stability_reward': -7.867908471263945, 'pole_stability_reward_transformed': 116.57148687197069, 'cart_position_penalty': -49.97929020412266, 'gpt_reward': 66.59219666784804, 'gt_reward': 124.0, 'episode_length': 124.0}
Episode 4 finished with reward: {'pole_stability_reward': -8.23343298304826, 'pole_stability_reward_transformed': 114.21480896504134, 'cart_position_penalty': -36.42265444248915, 'gpt_reward': 77.79215452255221, 'gt_reward': 122.0, 'episode_length': 122.0}
Episode 5 finished with reward: {'pole_stability_reward': -8.223453271086328, 'pole_stability_reward_transformed': 281.2449715141839, 'cart_position_penalty': -82.30825817026198, 'gpt_reward': 198.93671334392212, 'gt_reward': 289.0, 'episode_length': 289.0}
Episode 1 finished with reward: {'pole_stability_reward': -9.165622214823088, 'pole_stability_reward_transformed': 329.293206807343, 'cart_position_penalty': -163.3890624389751, 'gpt_reward': 165.90414436836792, 'gt_reward': 338.0, 'episode_length': 338.0}
Episode 2 finished with reward: {'pole_stability_reward': -9.682813433964185, 'pole_stability_reward_transformed': 299.7844463571675, 'cart_position_penalty': -158.21921241655946, 'gpt_reward': 141.56523394060812, 'gt_reward': 309.0, 'episode_length': 309.0}
Episode 3 finished with reward: {'pole_stability_reward': -6.385987755497808, 'pole_stability_reward_transformed': 493.7746285726, 'cart_position_penalty': -163.42412115074694, 'gpt_reward': 330.3505074218531, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 4 finished with reward: {'pole_stability_reward': -9.55537542932143, 'pole_stability_reward_transformed': 487.85243651381927, 'cart_position_penalty': -186.18336430191994, 'gpt_reward': 301.6690722118995, 'gt_reward': 497.0, 'episode_length': 497.0}
Episode 5 finished with reward: {'pole_stability_reward': -1.6660715649376243, 'pole_stability_reward_transformed': 498.3380929028079, 'cart_position_penalty': -61.093146511026134, 'gpt_reward': 437.2449463917818, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 1 finished with reward: {'pole_stability_reward': -1.6542038282332214, 'pole_stability_reward_transformed': 498.3499489681881, 'cart_position_penalty': -11.49924811499659, 'gpt_reward': 486.8507008531915, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 2 finished with reward: {'pole_stability_reward': -2.9146194788536377, 'pole_stability_reward_transformed': 497.10633863596416, 'cart_position_penalty': -16.385543191143597, 'gpt_reward': 480.7207954448207, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 3 finished with reward: {'pole_stability_reward': -3.1979344135506835, 'pole_stability_reward_transformed': 496.8257210116309, 'cart_position_penalty': -14.903555640110426, 'gpt_reward': 481.9221653715204, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 4 finished with reward: {'pole_stability_reward': -1.7545694600362367, 'pole_stability_reward_transformed': 498.2506525157443, 'cart_position_penalty': -7.931571163793706, 'gpt_reward': 490.3190813519506, 'gt_reward': 500.0, 'episode_length': 500.0}
